# PORTIFOLIO ALLOCATION PROBLEM - DATA
param n_assets := 100;
param asset_data: base_date	pay_date	base_quotation	dy	yield :=
1 2022-05-31	2022-06-07	72.5	0.81	0.59 #ABCP11
2 2022-04-29	2022-05-06	73.57	0.88	0.65 #ABCP11
3 2022-03-31	2022-04-07	72.9	0.69	0.5 #ABCP11
4 2022-02-25	2022-03-08	77.04	0.58	0.45 #ABCP11
5 2022-01-31	2022-02-07	74.3	1.04	0.77 #ABCP11
6 2021-12-30	2022-01-10	69.99	0.83	0.58 #ABCP11
7 2021-11-30	2021-12-08	61.34	0.91	0.56 #ABCP11
8 2021-10-29	2021-11-09	66.99	0.69	0.46 #ABCP11
9 2021-09-30	2021-10-08	69.25	0.61	0.42 #ABCP11
10 2021-08-31	2021-09-09	73.5	0.57	0.42 #ABCP11
11 2022-06-14	2022-06-22	102.44	1.37	1.4 #AFHI11
12 2022-05-13	2022-05-20	100.65	1.34	1.35 #AFHI11
13 2022-04-14	2022-04-25	103.13	1.31	1.35 #AFHI11
14 2022-03-15	2022-03-22	102.15	1.27	1.3 #AFHI11
15 2022-02-14	2022-02-21	102.25	1.27	1.3 #AFHI11
16 2022-01-14	2022-01-21	101.18	1.28	1.3 #AFHI11
17 2021-12-14	2021-12-21	98.2	1.27	1.25 #AFHI11
18 2021-11-16	2021-11-23	98.25	1.22	1.2 #AFHI11
19 2021-10-15	2021-10-22	95.61	1.1	1.05 #AFHI11
20 2021-09-15	2021-09-22	95.0	1.05	1.0 #AFHI11
21 2022-06-14	2022-06-22	90.89	1.19	1.079 #AFOF11
22 2022-05-13	2022-05-20	89.0	1.28	1.136 #AFOF11
23 2022-04-14	2022-04-25	94.01	1.07	1.006 #AFOF11
24 2022-03-15	2022-03-22	93.15	1.07	0.996 #AFOF11
25 2022-02-14	2022-02-21	90.0	1.07	0.96 #AFOF11
26 2022-01-14	2022-01-21	86.0	0.98	0.84 #AFOF11
27 2021-12-14	2021-12-21	82.44	1.02	0.84 #AFOF11
28 2021-11-16	2021-11-23	79.53	1.06	0.84 #AFOF11
29 2021-10-15	2021-10-22	79.97	1.05	0.837 #AFOF11
30 2021-09-15	2021-09-22	91.45	0.73	0.67 #AFOF11
31 2022-05-31	2022-06-08	80.3	0.9	0.72 #AIEC11
32 2022-04-29	2022-05-09	80.2	0.9	0.72 #AIEC11
33 2022-03-31	2022-04-08	81.03	1.62	1.31 #AIEC11
34 2022-02-25	2022-03-09	77.21	0.88	0.68 #AIEC11
35 2022-01-31	2022-02-08	77.7	0.79	0.61 #AIEC11
36 2021-12-30	2022-01-10	73.5	0.83	0.61 #AIEC11
37 2021-11-30	2021-12-08	68.81	0.89	0.61 #AIEC11
38 2021-10-29	2021-11-08	74.0	0.82	0.61 #AIEC11
39 2021-09-30	2021-10-08	81.0	0.75	0.61 #AIEC11
40 2021-08-31	2021-09-09	81.4	0.75	0.61 #AIEC11
41 2017-03-31	2017-04-13	1710.0	0.02	0.371 #ALMI11
42 2017-02-24	2017-03-14	1820.0	4.71	85.718 #ALMI11
43 2017-01-31	2017-02-13	1835.0	1.35	24.832 #ALMI11
44 2016-12-29	2017-01-12	1860.0	1.31	24.322 #ALMI11
45 2016-11-30	2016-12-13	1900.0	1.27	24.203 #ALMI11
46 2016-10-31	2016-11-14	1931.0	1.25	24.094 #ALMI11
47 2016-09-30	2016-10-14	1905.0	1.28	24.392 #ALMI11
48 2016-08-31	2016-09-14	1828.98	1.33	24.394 #ALMI11
49 2016-07-29	2016-08-11	1878.9	1.29	24.243 #ALMI11
50 2016-06-30	2016-07-13	1805.0	1.35	24.297 #ALMI11
51 2022-06-17	2022-06-24	115.5	0.68	0.781 #ALZR11
52 2022-05-18	2022-05-25	116.35	0.67	0.776 #ALZR11
53 2022-04-14	2022-04-25	115.52	0.67	0.772 #ALZR11
54 2022-03-18	2022-03-25	110.15	0.69	0.763 #ALZR11
55 2022-02-18	2022-02-25	116.45	0.62	0.725 #ALZR11
56 2022-01-18	2022-01-25	114.49	0.65	0.749 #ALZR11
57 2021-12-16	2021-12-23	109.95	0.59	0.653 #ALZR11
58 2021-11-18	2021-11-25	102.98	0.62	0.638 #ALZR11
59 2021-10-18	2021-10-25	116.25	0.53	0.62 #ALZR11
60 2021-09-17	2021-09-24	115.99	0.58	0.673 #ALZR11
61 2022-05-31	2022-06-21	10.1	1.19	0.12 #APTO11
62 2022-04-29	2022-05-19	10.4	1.15	0.12 #APTO11
63 2022-03-31	2022-04-22	10.2	1.08	0.11 #APTO11
64 2022-02-25	2022-03-21	10.19	0.98	0.1 #APTO11
65 2022-01-31	2022-02-18	10.53	0.85	0.09 #APTO11
66 2021-12-30	2022-01-20	10.59	0.3	0.032 #APTO11
67 2022-06-14	2022-06-22	109.0	1.71	1.86 #ARCT11
68 2022-05-13	2022-05-20	106.0	1.91	2.02 #ARCT11
69 2022-04-14	2022-04-25	106.31	1.54	1.641 #ARCT11
70 2022-03-15	2022-03-22	109.86	1.5	1.65 #ARCT11
71 2022-02-14	2022-02-21	109.5	1.37	1.5 #ARCT11
72 2022-01-14	2022-01-21	108.0	1.58	1.702 #ARCT11
73 2021-12-14	2021-12-21	105.0	1.66	1.741 #ARCT11
74 2021-11-16	2021-11-23	101.9	1.41	1.438 #ARCT11
75 2021-10-15	2021-10-22	101.79	1.1	1.123 #ARCT11
76 2021-09-15	2021-09-22	101.75	0.91	0.925 #ARCT11
77 2022-05-31	2022-06-07	96.2	1.47	1.41 #ARRI11
78 2022-04-29	2022-05-06	98.8	1.3	1.282 #ARRI11
79 2022-03-31	2022-04-07	99.0	1.35	1.34 #ARRI11
80 2022-02-25	2022-03-08	100.48	1.29	1.3 #ARRI11
81 2022-01-31	2022-02-07	101.89	1.29	1.31 #ARRI11
