,asset,price,lqdt,divd,dy,dy3ac,dy6ac,dy12ac,dy3m,dy6m,dy12m,dyy,price_delta,profitability,profitability_ac,liq_patr,vpa,pvp,dyp,patr_delta,sector_none,sector_hosp,sector_hotel,sector_hbd,sector_corp,sector_log,sector_other,sector_resd,sector_shop,sector_title
10,CBOP11,60.99,1250.0,1.03,1.68631303208906,3.23708339544816,5.53529912968158,13.3769261685902,1.07902779848272,0.92254985494693,1.11474384738252,5.53529912968157,-3.04761904761905,-1.41269841269842,-11.470983861161,110193615.85,77.875347,0.7831746804287113,0.629210679472157,-12.8079242313363,0,0,0,0,1,0,0,0,0,0
11,BIME11,9.17,20122.0,0.16,1.68243953732913,4.67010198530331,8.16520629037918,0.0,1.55670066176777,1.3608677150632,0.0,8.16520629037918,-2.56147540983607,-0.922131147540994,6.54200456753096,55313386.31,9.462393,0.9690994656425704,1.58522268098567,-0.491401886672804,1,0,0,0,0,0,0,0,0,0
12,RBHG11,85.45,2936.0,1.46,1.67048054919908,4.36081765167939,7.94347688446634,14.9101587011708,1.45360588389313,1.32391281407772,1.24251322509757,7.94347688446634,-3.53200883002206,-1.92052980132448,6.33630178715461,166795155.28,96.548329,0.8850489789419349,1.3464759188116,0.0763910669945966,0,0,0,0,0,0,0,0,0,1
13,MBRF11,565.1,219.0,10.0,1.66672222407414,4.90960841609839,8.97008094978553,15.3860434186118,1.63653613869946,1.49501349163092,1.28217028488432,10.1648541315294,9.08727272727272,10.9054545454545,-16.5318630656427,113735279.34,1118.73701,0.5051231835085174,0.89386512742615,0.0155670282508291,0,0,0,0,0,0,1,0,0,0
14,URPR11,108.02,44240.0,1.85,1.65178571428571,5.17847832142038,9.34112960629504,18.3489285569926,1.72615944047346,1.55685493438251,1.52907737974939,9.34112960629503,0.692259282567642,2.35547963678864,2.14190222799209,574027635.81,104.014482,1.0385092337430475,1.93242321775923,4.45779251480944,0,0,0,0,0,0,1,0,0,0
15,GCRI11,97.44,3024.0,1.55,1.55622489959839,4.55381310062955,8.57970453967208,14.8226165164997,1.51793770020985,1.42995075661201,1.23521804304164,7.19276986630525,-0.390039003900389,1.16011601160115,8.48061366840678,98377736.44,98.346266,0.9907849475444243,1.504886825088,-1.03104010846484,0,0,0,0,0,0,0,0,0,1
16,RBHY11,97.67,410.0,1.54,1.55429955591441,4.29433408040895,7.94241189508294,15.6025557696062,1.43144469346965,1.32373531584716,1.30021298080052,7.94241189508293,-0.721442885771539,0.821643286573148,4.26304185162947,185762734.8,98.105225,0.9955636919440325,1.47800486671327,0.195953851445818,0,0,0,0,0,0,0,0,0,1
17,OUJP11,94.15,6351.0,1.47,1.52205425553945,4.35471818590687,8.36280938021528,14.3072654143225,1.45157272863562,1.39380156336921,1.19227211786021,8.36280938021528,1.66315789473683,3.21052631578946,14.7672936265967,330593078.37,101.646386,0.926250344011247,1.37732393161524,-0.135805396522837,0,0,0,0,0,0,0,0,0,1
18,SNFF11,89.67,3851.0,1.3,1.50969689931483,3.02389719510882,5.26157666752576,9.20864132688353,1.00796573170294,0.876929444587626,0.767386777240294,4.55336137007533,3.82204002893658,5.38943814805886,2.14371829531412,228274891.17,91.309956,0.9820396803170073,0.711861037365958,-1.05561175759409,0,0,0,0,0,0,0,0,0,1
19,VSLH11,9.17,85588.0,0.14,1.50699677072121,3.97517887671753,7.57210159003841,15.6702498198637,1.32505962557251,1.26201693167307,1.30585415165531,7.57210159003841,0.0,1.50699677072121,2.72795925219389,309775483.06,10.372842,0.8840393018615341,1.15686713438805,2.15826785472644,0,0,0,0,0,0,1,0,0,0
20,MORC11,96.7,8508.0,1.5,1.5043626516899,4.43922265582432,8.28610143380024,0.0,1.47974088527477,1.38101690563337,0.0,7.03610143380024,-2.24509803921569,-0.774509803921575,6.93606163869813,78429486.55,100.558359,0.9616306487260796,1.4916711200508,-0.276558560467444,0,0,0,0,0,0,0,0,0,1
21,BBFI11B,1760.0,61.0,26.656695188,1.49255283866561,3.97833481683921,7.68549012236024,15.1257180032354,1.32611160561307,1.28091502039337,1.26047650026962,7.68549012236023,-7.74896694214876,-6.37207152954545,-15.6372605977256,370762576.82,2852.019822,0.6171065104189166,1.12359678403385,0.129514344598647,0,0,0,0,1,0,0,0,0,0
22,BARI11,100.04,8351.0,1.5,1.48514851485149,4.19541206774593,7.38330065651598,14.1702539230247,1.39847068924864,1.23055010941933,1.18085449358539,7.383300656516,0.397614314115313,1.88866799204772,3.60242575512795,474303437.32,102.348703,0.9774427722840807,1.27016753695452,0.35569706264027,0,0,0,0,0,0,0,0,0,1
23,KNIP11,97.15,174860.0,1.5,1.48235991698784,4.79348812031652,8.48095626723144,16.0068765293155,1.59782937343884,1.41349271120524,1.33390637744296,8.48095626723144,-1.75728155339806,-0.30097087378641,5.84564650160857,6938900334.81,97.54584,0.9959420104435003,1.74277037339573,-0.119647532546485,0,0,0,0,0,0,0,0,0,1
24,QAMI11,90.3,690.0,1.35,1.46739130434783,4.37400870668502,8.00884984360006,16.2876673032813,1.45800290222834,1.33480830726668,1.35730560860678,8.00884984360006,-1.04334731633861,0.408734000215127,0.623916234392841,73056364.17,91.161151,0.9905535308565816,1.354743754826,0.0576191142323434,0,0,0,1,0,0,0,0,0,0
25,MATV11,99.87,65.0,1.4,1.45833333333333,3.92030740098781,7.57907895947805,0.0,1.3067691336626,1.26317982657968,0.0,6.36940154012321,-0.91856744762101,0.526370110434526,4.36983515910394,33257502.1,95.765671,1.0428580404349697,1.35748017679529,-1.92055545892599,0,0,0,0,0,0,0,0,0,1
26,GCRA11,101.81,3337.0,1.5,1.45631067961165,4.45825590096657,0.0,0.0,1.48608530032219,0.0,0.0,6.92940974712042,-0.894833060713951,0.548446069469821,6.09345696830965,71254839.01,98.609104,1.0324604511161566,1.60228613374278,0.0198388175947084,0,0,0,1,0,0,0,0,0,0
27,HREC11,96.58,2.0,1.4,1.45152928978745,3.81690005411844,6.64842993720625,11.6844496156512,1.27230001803948,1.10807165620104,0.973704134637598,6.64842993720625,-1.43076136944301,0.0,7.368354327091,432274986.83,92.828849,1.0404093236144725,1.40042671432886,0.159959045581481,0,0,0,0,0,0,0,0,0,1
28,RRCI11,85.56,1692.0,1.3,1.44556877571444,4.38818922053882,8.53810424590693,14.938537654801,1.46272974017961,1.42301737431782,1.24487813790008,8.53810424590693,-1.50054764512595,-0.0766703176341643,14.2067097679548,47284328.37,98.149748,0.8717291867117173,1.42639184361431,0.0512092251794272,0,0,0,0,0,0,0,0,0,1
29,DEVA11,98.7,52696.0,1.41,1.40760706798443,4.44363489909423,8.11356807288591,16.0838201313481,1.48121163303141,1.35226134548099,1.34031834427901,8.11356807288592,0.270270270270268,1.68168168168168,4.78326241625047,1363604754.65,98.060039,1.0065262160460695,1.6316534403989,0.828580068667462,0,0,0,0,0,0,0,0,0,1
30,IRIM11,103.42,4606.0,1.454777447,1.39680983869419,3.78703836115527,8.04129865020737,0.0,1.26234612038509,1.34021644170123,0.0,6.71599330684454,-5.23202911737943,-3.90830077616015,0.300844118771626,130503385.72,100.38722,1.0302108176718112,1.13929480664969,-0.402325623964861,0,0,0,1,0,0,0,0,0,0
31,IBCR11,92.46,1631.0,1.32,1.38947368421053,4.14046905688634,8.77742467358775,0.0,1.38015635229545,1.46290411226462,0.0,7.23007579799461,-3.06122448979592,-1.71428571428572,5.29170105800389,78895736.6,98.260896,0.9409643486255203,1.24159258633261,0.475751309629047,0,0,0,0,0,0,0,0,0,1
32,PLCR11,82.45,5077.0,1.17,1.37469157560804,3.93306435085032,7.48968964795958,13.7110285892115,1.31102145028344,1.24828160799326,1.14258571576762,7.48968964795959,-3.61268403171008,-2.2876557191393,3.60068288306914,195230258.4,92.562644,0.8907481078435918,1.18838437674706,-0.0855940624732154,0,0,0,1,0,0,0,0,0,0
33,XPCA11,10.08,46979.0,0.14,1.3738959764475,4.11299554649593,7.70209114856927,0.0,1.37099851549864,1.28368185809488,0.0,7.70209114856928,1.29224652087474,2.68389662027833,13.8757523309369,134119495.76,9.517106,1.0591455007436084,1.47103541769946,-0.26259245414274,0,0,0,0,0,0,0,0,0,1
34,OURE11,79.05,4458.0,1.1000001392,1.3720844944493,3.65507561449654,6.82991000256764,13.454108633214,1.21835853816551,1.13831833376127,1.1211757194345,5.49657632774005,0.47625015666124,1.85486920566489,-1.82732456938454,99331744.57,92.222582,0.857165330721276,1.19276658205037,-0.423553003457167,0,0,0,0,0,0,0,0,0,1
35,VOTS11,89.9,93.0,1.23,1.36818687430478,4.37308821756399,8.02674369432406,12.7606359407677,1.45769607252133,1.33779061572068,1.06338632839731,8.02674369432406,0.301238424634631,1.67354680352563,15.8232339839216,78793261.04,95.170943,0.9446160473580683,1.29241127725297,-0.48987834101113,0,0,0,0,0,0,0,0,0,1
36,AFHI11,99.21,7908.0,1.4,1.36665365091761,4.03246501160937,7.86133583265328,14.395177408531,1.34415500386979,1.31022263877555,1.19959811737758,6.57649693168471,2.95477386934673,4.36180904522614,6.95011141789061,173824946.4,97.235423,1.0203071775601777,1.38838291473263,0.439834383816029,0,0,0,0,0,0,0,0,0,1
37,BLMC11,88.85,24.0,1.25,1.35854798391479,3.78070168893976,7.1410973923767,12.9938293624917,1.26023389631325,1.19018289872945,1.08281911354097,6.01761459570703,-4.15624999999999,-2.85416666666666,-0.548263308735331,39216529.56,98.164029,0.9051176984595853,1.17150855737594,1.29313499611461,0,0,0,0,0,0,1,0,0,0
38,TGAR11,115.54,27045.0,1.57,1.35813148788927,3.85106162619067,6.9989372905266,12.5735026468577,1.28368720873022,1.1664895484211,1.04779188723814,6.9989372905266,-2.36486486486488,-1.03885135135136,0.911767714221901,1420685727.96,125.617999,0.9197726513698089,1.21797832490549,-1.86193422927684,0,0,0,0,0,0,1,0,0,0
39,FEXC11,86.38,15494.0,1.197520015,1.35634841431646,3.83775897467439,7.20700438815917,12.7432950555618,1.27925299155813,1.20116739802653,1.06194125463015,7.20700438815917,-1.89999999999999,-0.569422205555536,6.73754900708856,570742091.11,93.510486,0.9237466694376928,1.22980860135835,-0.16816521646138,0,0,0,0,0,0,0,0,0,1
40,VGIA11,10.05,462038.0,0.15,1.34649910233393,4.1358999841529,0.0,0.0,1.37863332805097,0.0,0.0,6.69946885117638,3.53159851301117,4.92565055762084,12.3262211047664,95747517.22,9.51418,1.056318043173453,1.57659409428874,0.0724180747520675,0,0,0,0,0,0,0,0,0,1
41,SNCI11,102.58,19608.0,1.4,1.34357005758157,3.94948340072965,7.78994499430751,0.0,1.31649446690988,1.29832416571792,0.0,6.64051970695118,0.773694390715662,2.12765957446808,6.66560066681157,252128060.08,100.851184,1.0171422479283931,1.28902799990925,1.92336273738138,0,0,0,0,0,0,0,0,0,1
42,BCRI11,107.3,12410.0,1.47,1.34087384839916,3.84975288555388,7.28518091858716,13.6136295084252,1.28325096185129,1.21419681976453,1.1344691257021,7.28518091858715,0.577981651376147,1.92660550458716,6.18272080941356,670869079.01,107.20401,1.0008953956106679,1.35256134541982,0.808742679802954,0,0,0,0,0,0,0,0,0,1
43,MGCR11,86.08,2115.0,1.15,1.32183908045977,3.80126216472731,7.22881739496182,12.788879304946,1.26708738824244,1.2048028991603,1.06573994207883,6.09335696575777,-0.877292924689521,0.432949755041601,4.88127552322557,135199801.61,95.056895,0.9055629262874618,1.05200154076146,-0.0156008526067897,0,0,0,0,0,0,0,0,0,1
44,HSAF11,94.4,2888.0,1.25,1.32149275821968,3.83969291436255,7.39997955481406,13.6355576362717,1.27989763812085,1.23332992580234,1.13629646968931,7.39997955481406,-0.661625708884683,0.651123713505575,7.45006151496996,168525677.28,95.017702,0.9934990850441743,1.31554433930637,0.0719435886435082,0,0,0,0,0,0,0,0,0,1
45,CACR11,101.33,961.0,1.38,1.32057416267943,3.00028046552947,7.09605850148402,14.4027332770004,1.00009348850982,1.182676416914,1.20022777308337,7.09605850148402,-2.40029886989819,-1.11142243392172,4.3581416141399,187101645.31,103.51783,0.978865186799221,1.11684387431489,19.2246943695898,0,0,0,1,0,0,0,0,0,0
46,HCTR11,111.58,100396.0,1.5,1.31567406367862,4.50688475331917,8.10646376423528,15.6969780556049,1.50229491777306,1.35107729403921,1.30808150463374,8.10646376423529,-0.817746846454981,0.487168334058286,-1.01826837635509,2671651053.42,120.975661,0.9223342867289644,1.46310421895525,1.01283148612581,0,0,0,0,0,0,1,0,0,0
47,KISU11,7.52,106646.0,0.1,1.31061598951507,3.16519017949131,5.66417452094562,10.1508609850338,1.05506339316377,0.944029086824271,0.845905082086151,5.66417452094562,2.00534759358288,3.34224598930482,-0.830070092769153,397684224.87,8.998185,0.8357240932476938,0.833501422786929,-0.500671037190059,0,0,0,0,0,0,0,0,0,1
48,VGIR11,100.82,33593.0,1.3,1.31061598951507,3.69096506645994,6.87799246520662,11.1692207929344,1.23032168881998,1.14633207753444,0.930768399411202,5.95964548976242,-0.968450479233229,0.329472843450485,3.37279617334634,729972953.61,96.41996,1.0456341197403525,1.34826855352357,-0.192768193953952,0,0,0,0,0,0,0,0,0,1
49,APTO11,9.8,2619.0,0.13,1.30522088353414,3.64718584926148,6.58759039211198,0.0,1.21572861642049,1.09793173201866,0.0,6.58759039211199,-1.38613861386138,-0.0990099009900991,5.29050793264523,38808751.87,9.671103,1.0133280557553777,1.24080986419026,-0.510312570821725,0,0,0,1,0,0,0,0,0,0
50,CVBI11,100.18,27706.0,1.3,1.29766420443202,4.25872941906207,7.54251278712008,13.8525914632277,1.41957647302069,1.25708546452001,1.15438262193564,7.54251278712008,-1.22263853283375,0.0591599290080902,5.97371789644556,1052112121.61,100.048652,1.0013128412764623,1.49927057487991,0.216880063549874,0,0,0,0,0,0,0,0,0,1
51,VGHF11,9.72,524011.0,0.13,1.29740518962076,4.00530855554374,8.47566812794414,16.9693927712297,1.33510285184791,1.41261135465736,1.41411606426914,8.47566812794413,2.1406727828746,3.46585117227318,5.92600137161508,608979159.27,9.358295,1.038650737126795,1.49599900409209,-0.482863025646696,0,0,0,0,0,0,0,0,0,1
52,ITIP11,82.94,2333.0,1.08,1.29186602870813,3.69334356443117,7.22017534194852,13.5387216721208,1.23111452147706,1.20336255699142,1.12822680601007,7.22017534194852,-3.9080459770115,-2.66666666666666,10.4667495612404,64992054.0,86.870236,0.9547573923938688,1.24323364333901,-0.764462263764476,0,0,0,0,0,0,0,0,0,1
53,RZAG11,10.15,150288.0,0.13,1.2909632571996,3.72422001461687,7.04214451127992,0.0,1.24140667153896,1.17369075187999,0.0,7.04214451127993,0.901803607214435,2.20440881763526,9.87041241866655,289691582.98,9.546886,1.0631738977505334,1.31980207996618,0.0868576010255584,0,0,0,0,0,0,0,0,0,1
54,BTCR11,94.49,12390.0,1.25,1.28998968008256,3.90850846854065,7.52889486556985,12.7661513777996,1.30283615618022,1.25481581092831,1.06384594814997,7.52889486556985,0.248292985723153,1.54148561969791,13.1766525048898,464617244.4,96.592074,0.9782376139889076,1.29410203988373,0.767578119172585,0,0,0,0,0,0,0,0,0,1
55,VCJR11,97.01,16989.0,1.3,1.28344357784579,4.57479511842123,8.10948204910681,15.7400007465299,1.52493170614041,1.3515803415178,1.31166672887749,8.10948204910682,3.2412598104169,4.56630312914079,12.0254913277749,1390944337.65,94.468023,1.0269083327805009,1.85247869535705,-0.251380861481187,0,0,0,0,0,0,0,0,0,1
56,IRDM11,105.46,124539.0,1.352460831,1.27952774929044,3.52894313249474,6.96953558034393,12.9546516581154,1.17631437749825,1.16158926339066,1.07955430484295,5.64993544792425,-0.283018867924523,0.992887576415113,1.64381718645197,3202717504.66,96.921114,1.0881014017234676,1.2194668088524,-0.186710085291997,0,0,0,0,0,0,0,0,0,1
57,HABT11,99.03,12950.0,1.3,1.27576054955839,3.82810239842251,7.2414363830576,14.7884488825343,1.2760341328075,1.20690606384293,1.23237074021119,7.24143638305761,-1.57442287259731,-0.318748188930751,-1.71870093766912,738157916.85,99.446441,0.9958124092143228,1.40779296465723,0.758894111854902,0,0,0,0,0,0,0,0,0,1
58,RELG11,76.99,2685.0,0.9757,1.26747207066771,3.74107831160919,6.43905131435397,12.170232314216,1.24702610386973,1.073175219059,1.01418602618467,6.43905131435398,0.260484501172176,1.53125814014066,2.14180415238898,160923032.64,120.581159,0.638491126130244,0.804437449469199,-0.388726408750961,0,0,0,1,0,0,0,0,0,0
59,BPFF11,63.65,5162.0,0.8,1.25274036955841,3.40721759335179,6.13778161668439,11.1170381307947,1.13573919778393,1.02296360278073,0.926419844232895,6.13778161668439,-1.84445127574547,-0.614817091915165,-1.17799063305531,349434722.44,77.78481,0.8182831583698669,0.964198536963708,-0.590412726073675,0,0,0,0,0,0,0,0,0,1
60,BBFO11,71.5,2228.0,0.88,1.25,3.41781727379553,6.5139049190578,11.4479381844479,1.13927242459851,1.08565081984297,0.953994848703991,6.5139049190578,-4.86486486486486,-3.67567567567567,3.51693628268301,341845140.55,85.378042,0.8374518591091608,0.972146913371473,-0.383055653580844,0,0,0,0,0,0,0,0,0,1
