202106	0.56	0.46	0.58	0.54	0.62	0.96	0.65	1.61	0.71	1.37	1.39	1.3	1.04	0.77	0.45	0.88	0.59	0.44	0.93	0.55	0.52	6.42	0.92	0.37	1.1	1.16	0.54	0.84	0.66	1.89	1.01	0.55	0.98	0.58	0.38
202107	0.49	0.86	0.56	0.54	0.61	0.95	0.66	1.22	0.58	1.24	0.75	0.65	0.49	0.6	0.58	0.75	0.59	0.48	0.97	0.59	0.54	0.0	1.08	0.44	0.74	1.16	0.47	0.81	0.81	1.18	0.93	0.53	0.5	0.56	0.49
202108	0.62	0.81	0.62	0.56	0.67	0.81	0.69	1.2	0.74	1.18	0.77	0.68	0.52	0.62	0.62	0.99	0.65	0.53	1.17	0.62	0.57	0.0	0.81	0.53	0.77	1.04	0.62	0.86	0.68	1.69	1.19	0.59	0.7	0.59	0.6
202109	0.58	0.91	0.7	0.58	0.68	0.98	0.72	1.32	0.8	1.23	0.79	0.67	0.53	0.64	0.65	0.97	0.66	0.57	1.25	0.64	0.61	0.0	0.92	0.56	0.81	1.04	0.65	0.87	0.9	1.77	0.9	0.61	0.8	0.61	0.56
202110	0.53	1.1	0.69	0.6	0.67	1.2	0.73	1.28	0.75	1.29	0.85	0.66	0.55	0.64	0.67	0.92	0.72	0.57	1.3	0.68	0.66	0.0	1.25	0.61	0.98	1.07	0.68	0.97	1.94	1.14	1.29	0.63	0.97	0.65	0.55
202111	0.62	1.41	0.74	0.7	0.7	1.11	0.91	1.35	1.57	1.31	0.93	0.69	0.58	0.67	0.74	1.27	0.76	0.66	1.45	0.81	0.74	0.0	1.24	0.67	0.93	1.07	0.73	1.06	0.77	1.78	1.26	0.73	0.96	0.7	0.53
202112	0.59	1.66	0.71	0.61	0.69	1.11	0.8	1.18	1.04	1.31	1.18	1.03	2.02	0.64	0.64	1.09	0.64	0.8	1.44	0.69	0.67	0.0	1.26	0.61	0.89	1.2	0.68	1.01	0.82	1.45	1.57	0.66	0.49	0.63	0.58
202201	0.65	1.58	0.77	0.64	0.68	1.09	0.0	1.08	0.83	1.2650000000000001	0.95	0.64	0.52	0.66	0.72	1.32	0.66	0.81	1.2650000000000001	0.72	0.73	0.0	1.33	0.65	0.93	1.44	0.64	0.94	0.83	1.35	1.6	0.68	0.79	0.65	0.89
202202	0.62	1.37	0.75	0.63	0.0	1.1	0.86	1.21	0.93	0.0	1.0	0.66	0.53	0.67	0.78	0.99	0.69	0.83	1.05	0.72	0.73	0.0	0.87	0.66	0.98	1.02	0.66	1.09	0.83	1.4	1.27	0.68	0.92	0.72	0.64
202203	0.0	0.0	0.81	0.0	0.0	1.1	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	1.19	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0
