# PORTIFOLIO ALLOCATION PROBLEM - DATA
param n_assets := 250;
param asset_data: price	lqdt	divd	dy	dy3ac	dy6ac	dy12ac	dy3m	dy6m	dy12m	dyy	price_delta	profitability	profitability_ac	liq_patr	vpa	pvp	dyp	patr_delta	sector_none	sector_hosp	sector_hotel	sector_hbd	sector_corp	sector_log	sector_other	sector_resd	sector_shop	sector_title :=
183 208.0	5.0	1.48939996	0.731137381571842	2.16816189335405	4.21311218072892	7.73344648774291	0.722720631118018	0.702185363454821	0.644453873978576	3.50602430165915	-3.45497630331754	-2.74909954502369	-1.88235191587309	45277206.52	191.85257	1.084165825873482	0.802872299286895	0.0074385563258117	0	0	0	0	1	0	0	0	0	0 #EDFO11B
184 1274.99	21.0	9.5	0.730774852114247	2.3705665039508	4.28471310010335	6.8205143659877	0.790188834650268	0.714118850017225	0.568376197165641	3.03717761969116	5.73408486445599	6.50676296675858	11.6510176880371	112155668.94	1719.335126	0.7415599092459884	-9999999999.0	-9999999999.0	0	0	0	0	0	0	0	0	1	0 #FLRP11
185 69.24	4747.0	0.5	0.729820464165815	2.15159791108305	4.12703287255466	7.80953350977529	0.717199303694351	0.687838812092444	0.65079445914794	3.44884138319297	-2.75372604684173	-2.04400283889283	-3.49040455430564	381155465.82	90.27912	0.766954750998902	0.553837919554378	-0.255906638618575	0	0	0	0	1	0	0	0	0	0 #TEPP11
186 48.0	3977.0	0.37	0.729783037475345	2.12319267504792	4.12718404295059	7.23331469425295	0.70773089168264	0.687864007158431	0.602776224521079	3.4859362093284	-1.66795965865012	-0.950349107835524	-4.49021257299334	283406000.4	99.440702	0.48269972993553484	0.372081041825308	-0.0116920337613013	0	0	0	0	0	0	0	0	1	0 #FIGS11
187 99.51	11909.0	0.74	0.724070450097847	2.1812177263549	4.29173109503164	8.18109980632836	0.727072575451634	0.715288515838607	0.68175831719403	2.89998670793012	2.49724200180526	3.23939424330562	6.4954153271614	1350472515.23	114.688086	0.8676576920117056	0.645228310811639	-0.0768843185970147	0	0	0	0	0	1	0	0	0	0 #LVBI11
188 84.4	6718.0	0.62	0.720930232558139	1.91494009578878	0.0	0.0	0.638313365262928	0.0	0.0	2.37297284513036	-2.82485875706214	-2.12429378531073	0.834573135790251	396091486.15	98.895198	0.853428697316527	0.626926294237259	0.44046246212428	0	0	0	0	0	0	0	0	0	1 #BBGO11
189 56.0	121.0	0.41	0.720182680484806	2.09481394892138	4.15398400678411	7.67505822108313	0.698271316307128	0.692330667797351	0.639588185090261	3.48720336051979	-5.11666666666667	-4.43333333333332	4.324152179573	797170393.11	56.973746	0.9829088647251666	0.719629704530926	0.0201870547698046	0	0	0	0	0	1	0	0	0	0 #PQAG11
190 82.21	942.0	0.6	0.71882113334132	2.2108449577405	4.1081670339635	7.49991726426156	0.736948319246835	0.684694505660584	0.62499310535513	3.45681290300704	4.29838810446082	5.04810695989002	-0.466011500597074	112508527.31	125.009475	0.6576301516345061	0.479963618757698	-0.00497777487112883	0	0	0	0	0	0	0	1	0	0 #LUGG11
191 96.0	79183.0	0.68	0.712340247223968	2.06377148702385	4.05592719846514	7.74815515354071	0.68792382900795	0.675987866410857	0.645679596128393	3.43092719846514	-2.54211332312405	-1.84788157223074	0.33560643147843	3082675354.63	113.747405	0.8439752977221766	0.597815835886542	0.435820170377998	0	0	0	0	0	1	0	0	0	0 #XPLG11
192 101.05	16038.0	0.72	0.711181351244567	2.13442120224171	4.28209013521477	7.91183028083487	0.71147373408057	0.713681689202462	0.659319190069572	3.60718617923928	-0.793728564429208	-0.088192062714354	8.64994748868482	819150849.09	108.348256	0.9326407616565604	0.664523847988841	-0.461346805470708	0	0	0	0	0	0	0	0	1	0 #MALL11
193 58.9	45279.0	0.45	0.710675931775111	2.1987272957751	4.1368410135564	7.55134281414932	0.732909098591701	0.6894735022594	0.629278567845777	3.48950073773315	0.811972615825507	1.5284190415539	-6.63547258226864	1000575637.38	82.154551	0.716941414481104	0.547748109535648	-0.349314828807734	0	0	0	0	0	0	1	0	0	0 #RBRP11
194 101.55	42923.0	0.72	0.707616707616708	2.10678360045741	4.19066042397246	8.22283424360661	0.702261200152472	0.69844340399541	0.685236186967218	3.50819596899616	-0.342801175318308	0.362389813907926	2.94063377202147	1504876179.16	98.81674	1.0276598883954278	0.728621486602371	-0.217813462872563	0	0	0	0	0	1	0	0	0	0 #BTLG11
195 18.41	3544.0	0.137463533	0.705302888660852	2.3835305599643	3.67269284626054	6.93236336164125	0.794510186654768	0.612115474376758	0.577696946803438	2.87161708111028	0.412158681092212	1.12036853683666	-8.79652333118847	252351519.37	66.198289	0.27810386458779923	0.264717082038178	-0.0649202303463436	0	0	0	0	1	0	0	0	0	0 #EDGA11
196 97.29	27416.0	0.7	0.705289672544081	2.10794175702978	4.13732151281027	7.77199047103822	0.702647252343259	0.689553585468378	0.647665872586518	3.47412871318924	-1.93656753285247	-1.24493627111943	0.240311906270785	1702339010.34	113.508973	0.8571128557387265	0.616691334173202	-0.089705310638899	0	0	0	0	0	1	0	0	0	0 #VILG11
197 150.0	20300.0	1.05524524	0.703496826666667	2.16813517333591	4.19199699595331	5.50377662229217	0.722711724445302	0.698666165992218	0.458648051857681	3.48659924347104	3.44827586206897	4.17603120000001	3.53553711276136	285260278.84	159.29485	0.9416500282338067	0.661735859006113	-0.382849279324782	0	0	0	1	0	0	0	0	0	0 #BRLA11
198 96.9	35887.0	0.68	0.701754385964912	2.05957650160114	4.29951880608469	7.62754530935484	0.686525500533713	0.716586467680782	0.63562877577957	3.40666166322755	-0.513347022587274	0.184804928131421	7.04359629193729	1892808419.44	101.31952	0.9563803697451391	0.668183246110854	0.0119933622577451	0	0	0	0	0	0	0	0	1	0 #XPML11
199 117.08	2358.0	0.821610729	0.701751562179706	2.12395087611226	4.31250588191397	8.45837441434384	0.707983625370754	0.718750980318995	0.704864534528653	3.57809528822028	-2.17245989304814	-1.48595360210563	5.68781330048271	364002233.06	104.778695	1.1174027315381243	0.817797722141892	0.0159122544643564	0	0	0	0	0	0	1	0	0	0 #FCFL11
